epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5601,1.17499,3.78899,2.5442,1.49127,0.653,0.43515,0.42285,0.27493,0.64344,0.42761,0.35948,0.21624,1.13841,3.36711,4.9518,1.50422,0.00022864,0.00022864,0.00022864
2,38.4254,0.88571,1.84302,1.34475,1.27749,0.54861,0.33333,0.25034,0.14644,0.62042,0.26649,0.25862,0.14763,1.29023,2.74927,3.92197,1.59812,0.000462233,0.000462233,0.000462233
3,48.4994,0.91136,1.75946,1.26002,1.27752,0.12843,0.37767,0.15649,0.06496,0.13673,0.31962,0.12877,0.05184,2.01789,6.28985,9.59651,2.68962,0.000686206,0.000686206,0.000686206
4,59.3339,0.94382,1.74449,1.21425,1.30464,0.16273,0.45514,0.14942,0.06889,0.15404,0.32179,0.12931,0.05707,1.74184,7.16301,9.36877,2.90042,0.000900559,0.000900559,0.000900559
5,71.7014,0.90128,1.66629,1.14647,1.28837,0.16926,0.49435,0.16107,0.06722,0.13917,0.24451,0.07601,0.02917,1.865,7.55983,5.96149,2.63873,0.00110529,0.00110529,0.00110529
6,83.4305,0.93794,1.70621,1.15263,1.29655,0.26397,0.51541,0.27374,0.12185,0.27848,0.21811,0.18722,0.08751,1.80981,6.37444,5.74544,2.45159,0.00128753,0.00128753,0.00128753
7,95.7081,0.91492,1.61214,1.04403,1.28171,0.28343,0.56593,0.3041,0.12681,0.21529,0.45648,0.20902,0.08804,1.83782,6.37054,6.28539,2.40584,0.00125923,0.00125923,0.00125923
8,108.049,0.90221,1.62358,1.02203,1.25742,0.38985,0.56838,0.39461,0.18246,0.39344,0.3369,0.27959,0.12846,1.60996,5.22082,2.37557,2.00078,0.00123094,0.00123094,0.00123094
9,119.068,0.86687,1.58154,1.00307,1.23884,0.37272,0.41188,0.3397,0.16514,0.3171,0.31194,0.25278,0.13122,1.58906,5.26185,3.21909,2.01294,0.00120265,0.00120265,0.00120265
10,131.329,0.85143,1.55449,0.96077,1.23308,0.30673,0.63308,0.3095,0.1445,0.38891,0.50051,0.32019,0.16123,1.73914,3.10847,3.04442,2.06596,0.00117435,0.00117435,0.00117435
