epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.455,1.24279,3.62426,2.72396,1.58712,0.67881,0.35681,0.33293,0.17466,0.62943,0.35871,0.296,0.16236,1.4554,3.0825,4.57623,1.94058,0.00022864,0.00022864,0.00022864
2,29.8026,0.90515,1.7868,1.32427,1.33561,0.67481,0.37724,0.31912,0.16216,0.66254,0.36326,0.29819,0.17041,1.4519,2.75687,2.47801,1.81497,0.000468458,0.000468458,0.000468458
3,42.2877,0.94761,1.74452,1.28465,1.36742,0.28612,0.37012,0.24628,0.10598,0.28729,0.37176,0.24349,0.10243,1.92714,5.4191,4.84802,2.6453,0.000705069,0.000705069,0.000705069
4,56.8912,0.94114,1.72606,1.23543,1.35034,0.56381,0.40531,0.23353,0.10152,0.55124,0.35362,0.21966,0.08678,1.66735,4.38519,6.25016,2.16161,0.000938473,0.000938473,0.000938473
5,70.0787,0.94798,1.71575,1.20781,1.36461,0.47734,0.41923,0.18377,0.06888,0.46333,0.36807,0.14868,0.0473,1.98187,6.72078,11.421,2.73033,0.00116867,0.00116867,0.00116867
6,83.2633,0.99052,1.82215,1.17711,1.41865,0.51777,0.29145,0.17867,0.07611,0.46339,0.1906,0.08415,0.03671,2.03175,7.57867,7.558,2.57376,0.00138184,0.00138184,0.00138184
7,96.1955,0.9635,1.72164,1.16263,1.35878,0.61045,0.38622,0.33126,0.15223,0.58693,0.36446,0.28625,0.13972,1.71994,4.26301,4.60808,2.335,0.00137241,0.00137241,0.00137241
8,109.138,0.91891,1.73183,1.15242,1.35491,0.50711,0.32274,0.21788,0.11243,0.50553,0.31592,0.20506,0.10923,1.84228,4.2087,7.47862,2.51222,0.00136298,0.00136298,0.00136298
9,122.13,0.91825,1.66598,1.09091,1.346,0.61325,0.3454,0.27639,0.1518,0.59007,0.31402,0.23955,0.11464,1.4729,4.16969,3.41417,2.0937,0.00135355,0.00135355,0.00135355
10,135.27,0.92369,1.60373,1.1149,1.33732,0.52503,0.29564,0.21147,0.10374,0.52586,0.28398,0.20379,0.10219,1.82993,4.00545,5.39286,2.34537,0.00134412,0.00134412,0.00134412
